Bee species	Flower genus	Flower species	Flower family		
	Echium	plantagineum	Boraginaceae	1	
	Triumfetta	winneckeana	Malvaceae	1	
Megachile (Eutricharaea) serricauda					
	Mentha		Lamiaceae		1
	Calytrix	exstipulata	Myrtaceae		2
	Jacksonia	sternbergiana	Fabaceae	1	
	Ligustrum	lucidum	Oleaceae		1
	Oreganum		Lamiaceae	1	
	Persoonia	virgata	Proteaceae		1
	Pultenaea	tuberculata	Fabaceae	3	1
Megachile (Eutricharaea) simplex					
			Fabaceae	1	
	Mimosa	pudica	Fabaceae	1	
	Persoonia	tenuifolia	Proteaceae		1
	Persoonia	virgata	Proteaceae		1
	Pultenaea	humilis	Fabaceae	1	
Megachile (Eutricharaea) waterhousei					
	Crotalaria	eremea	Fabaceae	1	
Megachile (Hackeriapis) canifrons					
	Arctotheca	calendula	Asteraceae		2
	Calotis		Asteraceae		1
	Calytrix		Myrtaceae	1	
	Calytrix	tetragona	Myrtaceae	1	
	Cullen	patens	Fabaceae	1	
	Dillwynia		Fabaceae	1	
	Eremophila	mitchellii	Scrophulariaceae		5
	Eremophila	sturtii	Scrophulariaceae		1
	Eucalyptus		Myrtaceae	1	
	Glycine		Fabaceae	1	
	Goodenia		Goodeniaceae		1
	Hardenbergia	violacea	Fabaceae		4
	Kunzea	parvifolia	Myrtaceae	1	
	Kunzea	wilsonii	Myrtaceae	1	
	Melaleuca	decussata	Myrtaceae	1	
	Melaleuca		Myrtaceae	2	1
	Oxylobium	pulteneae	Fabaceae	1	
	Philotheca	salsolifolia	Rutaceae	1	
	Phyllota	phylicoides	Fabaceae	1	
	Swainsona	burkitii	Fabaceae	1	
	Swainsona	purpurea	Fabaceae	2	2
Megachile (Hackeriapis) monkmani					
	Eucalyptus	sideroxylon	Myrtaceae	1	
	Eucalyptus		Myrtaceae	2	
Megachile (Hackeriapis) oblonga					
	Angophora	floribunda	Myrtaceae	2	2
	Angophora	hispida	Myrtaceae	2	1
	Eremophila	deserti	Scrophulariaceae	2	13
	Eucalyptus		Myrtaceae	1	
	Eucalyptus	dumosa	Myrtaceae	3	8
	Eucalyptus		Myrtaceae	3	
	Eucalyptus	viridis	Myrtaceae		1
	Kunzea	ambigua	Myrtaceae	1	
	Leptospermum		Myrtaceae		1
	Polycalymma	stuartii	Asteraceae	1	
Megachile (Hackeriapis) rhodura					
	Angophora	floribunda	Myrtaceae	1	2
	Canthium	latifolium	Rubiaceae		1
	Eucalyptus		Myrtaceae	3	
	Leptospermum		Myrtaceae		1
Megachile (Hackeriapis) semicandens					
	Eremophila	oppositifolia	Scrophulariaceae		1
	Melaleuca		Myrtaceae		2
Megachile (Hackeriapis) tosticauda					
	Angophora	floribunda	Myrtaceae	2	
	Angophora	hispida	Myrtaceae	2	
	Cassinia	laevis	Asteraceae		3
	Eremophila	deserti	Scrophulariaceae		1
	Eucalyptus		Myrtaceae	1	
	Goodenia	macbarronii	Goodeniaceae		1
	Pultenaea	tuberculata	Fabaceae	1	
Megachile (Mitchellapis) fabricator					
	Calytrix	exstipulata	Myrtaceae	2	
Megachile (Rhodomegachile) deanii					
	Calytrix	exstipulata	Myrtaceae	3	2
	Canthium	latifolium	Rubiaceae	4	2
	Eucalyptus	crebra	Myrtaceae	1	
	Eucalyptus	cloeziana	Myrtaceae	4	
	Eucalyptus		Myrtaceae	1	4
	Kunzea	ambigua	Myrtaceae	1	
Megachile (Thaumatosoma) remeata					
	Eremophila	scoparia	Scrophulariaceae	2	
	Eremophila	sturtii	Scrophulariaceae	2	
	Angophora	floribunda	Myrtaceae		1
	Calytrix	exstipulata	Myrtaceae		1
	Leptospermum		Myrtaceae		1
	Daviesia	ulicifolia	Fabaceae		3
	Gompholobium	grandiflorum	Fabaceae	2	
	Goodia	lotifolia	Fabaceae		1
	Podolobium	ilicifolium	Fabaceae	2	
Megachile apicata					
			Asteraceae	1	
	Calytrix	exstipulata	Myrtaceae	1	
	Eremophila	macdonnellii	Scrophulariaceae	1	
	Glycine		Fabaceae	1	
	Pultenaea	microphylla	Fabaceae	1	
	Scaevola	depauperata	Goodeniaceae	1	
	Scaevola	ramosissima	Goodeniaceae	1	
	Tephrosia	rosea	Fabaceae	2	
Megachile atrella					
	Eremophila	polyclada	Scrophulariaceae	1	2
	Eucalyptus	dumosa	Myrtaceae		2
	Stemodia	florulenta	Plantaginaceae		1
Megachile aurifrons					
	Angophora	floribunda	Myrtaceae	3	
	Calytrix	exstipulata	Myrtaceae	1	3
	Dillwynia	floribunda	Fabaceae	1	
	Jacksonia	sternbergiana	Fabaceae	1	
	Kunzea	parvifolia	Myrtaceae	1	
	Pultenaea	microphylla	Fabaceae	1	
	Swainsona	campylantha	Fabaceae	1	
	Swainsona	procumbens	Fabaceae	1	
Megachile callura					
	Eremophila	mitchellii	Scrophulariaceae	1	
	Eremophila	youngii	Scrophulariaceae	1	
	Wahlenbergia		Campanulaceae	1	1
Megachile clypeata					
	Calotis	erinacea	Asteraceae		1
	Eremophila	deserti	Scrophulariaceae	1	
	Eremophila	gilesii	Scrophulariaceae	2	
	Eremophila	mitchellii	Scrophulariaceae	8	
	Eremophila	scoparia	Scrophulariaceae	1	
	Eremophila	sturtii	Scrophulariaceae	9	
	Goodenia		Goodeniaceae	1	
	Pterocaulon	sphacelatum	Asteraceae	1	
Megachile eucalypti					
	Canthium	latifolium	Rubiaceae	1	2
Megachile ferox					
	Angophora	hispida	Myrtaceae	1	
	Dillwynia	floribunda	Fabaceae	1	1
	Kunzea	ambigua	Myrtaceae	2	
	Leptospermum		Myrtaceae	3	1
	Leucopogon		Ericaceae		1
Megachile hackeri					
	Baeckea	brevifolia	Myrtaceae	1	
	Kunzea	ambigua	Myrtaceae		1
	Pultenaea	tuberculata	Fabaceae	7	1
	Stylidium		Stylidiaceae		1
Megachile heriadiformis					
	Dampiera		Goodeniaceae		2
	Daviesia	ulicifolia	Fabaceae		1
	Dillwynia	floribunda	Fabaceae	1	
	Dillwynia	tenuifolia	Fabaceae		2
	Goodenia		Goodeniaceae	2	
	Leptospermum		Myrtaceae		1
	Mirbelia	platylobioides	Fabaceae	1	
	Pultenaea	ferruginea	Fabaceae		1
	Pultenaea	stipularis	Fabaceae	1	1
	Pultenaea	tuberculata	Fabaceae	2	
	Stylidium		Stylidiaceae		1
Megachile heliophila					
	Acacia	buxifolia	Fabaceae	1	
	Bossiaea	obcordata	Fabaceae		1
	Dillwynia	floribunda	Fabaceae		1
	Jacksonia	scoparia	Fabaceae	1	
	Kunzea	ambigua	Myrtaceae	2	
	Phyllota	phylicoides	Fabaceae	2	
	Pultenaea	ferruginea	Fabaceae	3	
	Pultenaea	flexilis	Fabaceae	1	1
	Pultenaea	tuberculata	Fabaceae	3	4
Megachile leeuwinensis					
	Calytrix	exstipulata	Myrtaceae	7	3
	Mirbelia	viminalis	Fabaceae	3	
Megachile leucopyga					
	Dillwynia	floribunda	Fabaceae		2
	Kunzea	ambigua	Myrtaceae	1	1
	Leptospermum		Myrtaceae		1
	Phyllota	phylicoides	Fabaceae	1	
	Pultenaea	ferruginea	Fabaceae		1
	Pultenaea	flexilis	Fabaceae		1
	Pultenaea	setulosa	Fabaceae		1
	Pultenaea	tuberculata	Fabaceae	1	3
	Stylidium		Stylidiaceae		1
Megachile lucidiventris					
	Acacia	brachybotrya	Fabaceae		1
	Angophora	hispida	Myrtaceae	1	1
	Bossiaea	walkeri	Fabaceae		1
	Calytrix	longiflora	Myrtaceae		1
	Corymbia	gummifera	Myrtaceae	1	
	Epacris	pulchella	Ericaceae	1	
	Eucalyptus		Myrtaceae	1	
	Kunzea	ambigua	Myrtaceae		1
	Leptospermum		Myrtaceae	1	
	Persoonia	oblongata	Proteaceae	1	1
	Pultenaea	microphylla	Fabaceae		1
Megachile micrerythrura					
	Calytrix	exstipulata	Myrtaceae	1	1
	Eucalyptus	crebra	Myrtaceae	1	
Megachile mundifica					
	Angophora	floribunda	Myrtaceae		1
	Dillwynia	floribunda	Fabaceae		1
	Swainsona	purpurea	Fabaceae	1	
	Verbena		Verbenaceae		1
Megachile nigrovittata					
	Acacia		Fabaceae	1	
	Calytrix	exstipulata	Myrtaceae		1
	Corymbia	terminalis	Myrtaceae		1
	Eucalyptus	cloeziana	Myrtaceae	1	1
	Hakea	mitchellii	Proteaceae		1
	Jacksonia		Fabaceae	5	1
	Ptilotus		Amaranthaceae	1	
	Sesbania	brachycarpa	Fabaceae		1
Megachile ordinaria					
	Dillwynia	floribunda	Fabaceae		1
	Gompholobium	grandiflorum	Fabaceae	1	1
	Gompholobium	minus	Fabaceae		1
	Gompholobium		Fabaceae	1	
	Goodenia	bellidifolia	Goodeniaceae		1
	Melissa	offinalis	Lamiaceae	1	
	Mirbelia	platylobioides	Fabaceae	2	2
	Phyllota	grandiflora	Fabaceae		1
	Phyllota	phylicoides	Fabaceae		1
	Pultenaea	tuberculata	Fabaceae	1	
	Stylidium		Stylidiaceae	1	1
	Wahlenbergia		Campanulaceae		1
Megachile paracallida					
	Calytrix	exstipulata	Myrtaceae	3	
	Jacksonia		Fabaceae	2	1
	Persoonia	tenuifolia	Proteaceae		2
	Ptilotus		Amaranthaceae	1	
	Scaevola	virgata	Goodeniaceae	4	
Megachile punctata					
	Pultenaea	humilis	Fabaceae	1	
	Pultenaea	tuberculata	Fabaceae	5	3
	Verbena		Verbenaceae		1
Megachile ramulipes					
	Canthium	latifolium	Rubiaceae	1	4
	Eucalyptus		Myrtaceae		1
	Melaleuca		Myrtaceae	2	1
Megachile semiluctuosa					
	Cullen	australasicum	Fabaceae		1
	Dampiera	lanceolata	Goodeniaceae		1
	Daviesia	leptophylla	Fabaceae		1
	Eremophila	maculata	Scrophulariaceae	1	
	Eremophila	mitchellii	Scrophulariaceae	1	1
	Glycine	canescens	Fabaceae		1
	Glycine		Fabaceae		1
	Grevillea	teretifolia	Proteaceae		1
	Hardenbergia	violacea	Fabaceae		1
	Kunzea	parvifolia	Myrtaceae	1	
	Micromyrtus	hexamera	Myrtaceae		3
	Swainsona	burkitii	Fabaceae	1	
	Swainsona	parviflora	Fabaceae	1	
	Swainsona	procumbens	Fabaceae	1	1
	Xerochrysum	bracteatum	Asteraceae	1	
Megachile speluncarum					
	Jacksonia	sternbergiana	Fabaceae	1	
Megachile tasmanica					
	Dillwynia		Fabaceae	1	2
	Dillwynia	tenuifolia	Fabaceae		1
	Leptospermum	trinervum	Myrtaceae	1	
	Oxylobium	pulteneae	Fabaceae	3	1
	Phyllota	grandiflora	Fabaceae	1	
	Pultenaea	boormanii	Fabaceae	1	
	Pultenaea	setulosa	Fabaceae	1	
	Pultenaea	tuberculata	Fabaceae	5	2
Megachile turneri					
	Calytrix	exstipulata	Myrtaceae	1	2
	Tridax	procumbens	Asteraceae		1
Megachile sp. JK79					
	Bossiaea		Fabaceae		1
	Jacksonia	sternbergiana	Fabaceae	1	
	Pultenaea		Fabaceae	1	
Megachile sp. JK87					
			Fabaceae	1	
	Gompholobium		Fabaceae	1	
Megachile sp. JK97					
	Calytrix	exstipulata	Myrtaceae	1	
Megachile sp. JK185					
	Eremophila	deserti	Scrophulariaceae		1
	Eucalyptus	dumosa	Myrtaceae	1	1
	Melaleuca		Myrtaceae	1	1
Megachile sp. JK193					
	Bursaria	spinosa	Pittosporaceae	1	
Megachile sp. JK221					
	Eremophila	mitchellii	Scrophulariaceae	1	
Megachile sp. JK224					
	Acacia		Fabaceae	1	
	Goodenia	bellidifolia	Goodeniaceae	1	
	Goodenia		Goodeniaceae		1
	Pterocaulon	sphacelatum	Asteraceae		4
	Scaevola	amblyanthera	Goodeniaceae	2	
	Scaevola	depauperata	Goodeniaceae	2	1
	Scaevola	parvibarbata	Goodeniaceae	1	1
Megachile sp. JK226					
	Daviesia	ulicifolia	Fabaceae		1
