Bee species	Plant genus	Plant species	Plant family	Females	Males
	Bossiaea	obcordata	Fabaceae	1	
	Calytrix	tetragona	Myrtaceae	4	
	Conospermum	ericifolium	Proteaceae	1	
	Corymbia	eximia	Myrtaceae	13	15
	Daviesia	corymbosa	Fabaceae	2	
	Daviesia	leptophylla	Fabaceae	11	
	Daviesia	ulicifolia	Fabaceae	1	
	Epacris	microphylla	Ericaceae	1	
	Epacris	pulchella	Ericaceae	1	
	Eremophila	scoparia	Scrophulariaceae	1	
	Eriostemon	australasius	Rutaceae	5	
	Eucalyptus	punctata	Myrtaceae	1	
	Eucalyptus	racemosa	Myrtaceae		1
	Eucalyptus		Myrtaceae	1	1
	Euphrasia	collina	Scrophulariaceae		1
	Goodenia	bellidifolia	Goodeniaceae	1	
	Goodenia	heterophylla	Goodeniaceae	2	
	Grevillea	buxifolia	Proteaceae	5	4
	Grevillea	sericea	Proteaceae		3
	Coronidium	elatum	Fabaceae		1
	Hibbertia		Dilleniaceae	1	
	Isopogon	anethifolius	Proteaceae	1	
	Jacksonia	scoparia	Fabaceae	8	
	Kunzea	ambigua	Myrtaceae	3	
	Leptospermum		Myrtaceae	2	4
	Leptospermum	trinervum	Myrtaceae	2	
	Leucopogon	lanceolatus	Ericaceae	5	
	Leucopogon	microphyllus	Ericaceae	2	
	Leucopogon		Ericaceae	1	1
	Melaleuca		Myrtaceae	6	1
	Mirbelia	platylobioides	Fabaceae	2	
	Monotoca	scoparia	Ericaceae	3	1
	Olearia		Asteraceae	1	
	Patersonia	sericea	Iridaceae	1	
	Persoonia	lanceolata	Proteaceae		4
	Persoonia	oblongata	Proteaceae	2	1
	Persoonia	pinifolia	Proteaceae		2
	Persoonia	virgata	Proteaceae	4	3
	Petrophile	pulchella	Proteaceae	1	
	Phyllota	grandiflora	Fabaceae	1	
	Phyllota	phylicoides	Fabaceae		2
	Platysace	ericoides	Apiaceae	3	1
	Pomaderris		Rhamnaceae	1	
	Pultenaea	flexilis	Fabaceae	3	1
	Pultenaea	procumbens	Fabaceae	5	
	Pultenaea	scabra	Fabaceae	2	
	Pultenaea		Fabaceae	1	
	Pultenaea	tuberculata	Fabaceae	2	2
	Sambucus	australasica	Adoxaceae	1	
	Senecio	linearifolius	Asteraceae	1	
	Senecio		Asteraceae	2	
	Stylidium	laricifolium	Stylidiaceae	1	
	Telopea	speciosissima	Proteaceae		1
	Trimenia	moorei	Trimeniaceae	1	2
	Wahlenbergia		Campanulaceae	5	
	Xanthorrhoea	media	Xanthorrhoeaceae	8	
	Zieria	laevigata	Rutaceae	3	1
Exoneura (Brevineura) aterima					
	Pultenaea	tuberculata	Fabaceae	1	
Exoneura (Brevineura) botanica					
	Eriostemon	australasius	Rutaceae	1	
Exoneura (Brevineura) concinnula					
	Eriostemon	australasius	Rutaceae	7	3
	Pomaderris	ferruginea	Rhamnaceae	2	
Exoneura (Brevineura) msp. brev1					
	Leptospermum	trinervum	Myrtaceae	6	
Exoneura (Brevineura) msp. brev2					
	Leptospermum	polygalifolium	Myrtaceae	7	6
	Leptospermum	trinervum	Myrtaceae	2	
Exoneura (Brevineura) sp. unsorted					
	Angophora	hispida	Myrtaceae		2
	Goodenia		Goodeniaceae		1
	Leucopogon	lanceolatus	Ericaceae		1
	Monotoca	scoparia	Ericaceae	1	
