Bee species	Flower genus	Flower species	Flower family	Females	Males
	Acacia	buxifolia	Fabaceae	1	
	Acacia	johnsonii	Fabaceae	1	
	Acacia	rubida	Fabaceae	5	
	Acacia		Fabaceae	4	1
	Angophora	floribunda	Myrtaceae	5	
	Angophora	hispida	Myrtaceae		4
	Boronia	occidentalis	Araliaceae	1	
	Eucalyptus		Myrtaceae	4	
	Leptospermum		Myrtaceae	1	
	Lophostemon	confertus	Myrtaceae	11	
Euhesma (Euhesma) nitidifrons					
	Grevillea	laurifolia	Proteaceae		1
	Leptospermum		Myrtaceae	5	
	Leptospermum	squarrosum	Myrtaceae	1	
	Leptospermum	trinervum	Myrtaceae	4	
Euhesma (Euhesma) palpalis					
	Mirbelia	platylobioides	Fabaceae	1	10
Euhesma (Euhesma) ridens					
	Leptospermum	polygalifolium	Myrtaceae	2	6
	Leptospermum		Myrtaceae	11	2
	Leptospermum	trinervum	Myrtaceae	3	5
Euhesma (Euhesma) scoparia					
	Acacia		Fabaceae	1	
	Eremophila	scoparia	Scrophulariaceae	2	10
Euhesma (Euhesma) sturtiensis					
	Eremophila	mitchellii	Scrophulariaceae	8	21
	Eremophila	sturtii	Scrophulariaceae	31	37
Euhesma (Euhesma) subinconspicua					
	Calytrix		Myrtaceae	1	
	Eremophila	sturtii	Scrophulariaceae	3	
Euhesma (Euhesma) sybilae					
	Eremophila	sturtii	Scrophulariaceae	1	
Euhesma (Euhesma) wahlenbergiae					
	Wahlenbergia		Campanulaceae	31	39
Euhesma (Euhesma) walkeriana					
	Calytrix	tetragona	Myrtaceae	1	
Euhesma (Euhesma) msp. basin					
	Philotheca	salsolifolia	Rutaceae	1	
Euhesma (Euhesma) msp. bclypeus					
	Kunzea	ambigua	Myrtaceae	1	6
	Leptospermum		Myrtaceae	2	7
	Leptospermum	trinervum	Myrtaceae	17	20
Euhesma (Euhesma) msp. bilpin					
	Pultenaea	scabra	Fabaceae	3	2
Euhesma (Euhesma) msp. carp					
	Carpobrotus		Aizoaceae	7	5
	Disphyma	crassifolium	Aizoaceae	12	2
Euhesma (Euhesma) msp. condo					
	Calytrix	tetragona	Myrtaceae	8	1
	Leptospermum	divaricatum	Myrtaceae	6	13
	Leptospermum		Myrtaceae	2	6
Euhesma (Euhesma) msp. esp					
	Daviesia	benthamii	Fabaceae	3	3
	Daviesia		Fabaceae	4	4
Euhesma (Euhesma) msp. grevill					
	Grevillea	teretifolia	Proteaceae	1	
	Hakea	francisiana	Proteaceae	1	
Euhesma (Euhesma) msp. impunct					
	Leptospermum		Myrtaceae	1	
